Postal Code,Area,District,Latitude,Longitude
22252,Kurupanawela,Nuwara Eliya,7.009000,80.905200
22254,Mipanawa,Nuwara Eliya,7.037300,80.923000
22256,Madulla,Nuwara Eliya,7.046200,80.903400
22262,Harasbedda,Nuwara Eliya,7.049300,80.874400
22270,Walapane,Nuwara Eliya,7.114100,80.851100
22272,Kumbalgamuwa,Nuwara Eliya,7.114100,80.851100
22274,Keerthi Bandarapura,Nuwara Eliya,7.114100,80.851100
22280,Nildandahinna,Nuwara Eliya,7.067900,80.893900
22282,Kalaganwatta,Nuwara Eliya,7.100000,80.900000
22285,Udamadura,Nuwara Eliya,7.085400,80.916500
22287,Teripeha,Nuwara Eliya,7.118100,80.917900
30000,Batticaloa,Batticaloa,7.710200,81.692400
30016,Kannankudah,Batticaloa,7.679800,81.670200
30018,Navatkadu,Batticaloa,7.583300,81.716700
30022,Pillaiyaradi,Batticaloa,7.752700,81.641700
30024,Thannamunai,Batticaloa,7.752700,81.641700
30100,Kattankudi,Batticaloa,7.682400,81.733400
30150,Araipattai,Batticaloa,7.666700,81.733300
30158,Puthukudiyiruppu,Batticaloa,7.633300,81.750000
30159,Kirankulam,Batticaloa,7.600000,81.766700
30160,Kokkaddichcholai,Batticaloa,7.624000,81.759900
30162,Ampilanthurai,Batticaloa,7.624000,81.759900
30192,Kurukkalmadam,Batticaloa,7.587600,81.782900
30194,Cheddipalayam,Batticaloa,7.583300,81.783300
30196,Thettativu,Batticaloa,7.585500,81.783100
30200,Kaluwanchikudi,Batticaloa,7.516700,81.783300
30204,Vellavely,Batticaloa,7.500000,81.733300
30206,Bakiella,Batticaloa,7.508300,81.758300
30220,Mandur,Batticaloa,7.483300,81.750000
30230,Periyaporativu,Batticaloa,7.516700,81.766700
30234,Thirupalugamam,Batticaloa,7.525000,81.725000
30236,Thikkodai,Batticaloa,7.533300,81.683300
30238,Navagirinagar,Batticaloa,7.525000,81.725000
30249,Koddaikallar,Batticaloa,7.502800,81.752800
30250,Kallar,Batticaloa,7.466700,81.800000
30254,Thuraineelavanai,Batticaloa,7.466700,81.800000
30300,Eravur,Batticaloa,7.778200,81.603800
30350,Chenkaladi,Batticaloa,7.786000,81.591000
30352,Pankudavely,Batticaloa,7.749100,81.568900
30354,Karadiyanaru,Batticaloa,7.712100,81.546800
30358,Periyapullumalai,Batticaloa,7.749100,81.568900
30362,Ayithiyamalai,Batticaloa,7.616700,81.550000
30364,Unnichchai,Batticaloa,7.616700,81.550000
30372,Kaluwankemy,Batticaloa,7.799500,81.577300
30376,Vantharumoolai,Batticaloa,7.799500,81.577300
30392,Murakottanchanai,Batticaloa,7.865500,81.537500
30394,Kiran,Batticaloa,7.865500,81.537500
30400,Valaichenai,Batticaloa,7.689900,81.601100
30410,Kalkudah,Batticaloa,7.916700,81.566700
30420,Oddamavadi,Batticaloa,7.916700,81.516700
30424,Vakaneri,Batticaloa,7.916700,81.433300
30426,Miravodai,Batticaloa,7.902400,81.509800
30428,Punanai,Batticaloa,7.966700,81.383300
30442,Mankemi,Batticaloa,7.957400,81.480500
30444,Panichankemi,Batticaloa,7.957400,81.480500
30450,Vakarai,Batticaloa,8.133300,81.433300
30456,Kathiraveli,Batticaloa,8.216700,81.400000
31000,Trincomalee,Trincomalee,8.571100,81.233500
31006,Sampaltivu,Trincomalee,8.626300,81.212700
31010,Nilaveli,Trincomalee,8.683300,81.200000
31012,Kumburupiddy,Trincomalee,8.735300,81.162300
31014,Kuchchaveli,Trincomalee,8.814600,81.099000
31016,Tiriyayi,Trincomalee,8.744400,81.153800
31026,Gomarankadawala,Trincomalee,8.674900,80.954800
31028,Buckmigama,Trincomalee,8.674900,80.954800
31032,Kanniya,Trincomalee,8.633300,81.031700
31034,Pankulam,Trincomalee,8.633300,81.031700
31036,Mahadivulwewa,Trincomalee,8.633300,81.031700
31038,Rottawewa,Trincomalee,8.633300,81.031700
31046,Tampalakamam,Trincomalee,8.499500,81.097200
31050,Chinabay,Trincomalee,8.516400,81.189100
31053,Vellamanal,Trincomalee,8.516400,81.189100
31100,Kinniya,Trincomalee,8.498100,81.177900
31106,Maharugiramam,Trincomalee,8.498100,81.177900
31112,Kurinchakemy,Trincomalee,8.498100,81.177900
31200,Mutur,Trincomalee,8.450000,81.266700
31212,Kaddaiparichchan,Trincomalee,8.450000,81.283300
31216,Sampur,Trincomalee,8.485400,81.291000
31220,Kiliveddy,Trincomalee,8.447700,81.287400
31222,Somapura,Trincomalee,8.447700,81.287400
31224,Mallikativu,Trincomalee,8.447700,81.287400
31226,Dehiwatte,Trincomalee,8.447700,81.287400
31228,Neelapola,Trincomalee,8.447700,81.287400
31232,Serunuwara,Trincomalee,8.447700,81.287400
31234,Lankapatuna,Trincomalee,8.447700,81.287400
31236,Echchilampattai,Trincomalee,8.447700,81.287400
31238,Mawadichenai,Trincomalee,8.447700,81.287400
31250,Toppur,Trincomalee,8.405500,81.308600
31260,Seruwila,Trincomalee,8.447700,81.287400
31300,Kantalai,Trincomalee,8.368300,81.028100
31304,Agbopura,Trincomalee,8.324900,80.979400
31306,Kantalai Sugar Factory,Trincomalee,8.346600,81.003700
31308,Wanela,Trincomalee,8.346600,81.003700
31312,Mullipothana,Trincomalee,8.346600,81.003700
31314,Sirajnagar,Trincomalee,8.346600,81.003700
31318,Galmetiyawa,Trincomalee,8.346600,81.003700
32000,Ampara,Ampara,7.297500,81.682000
32006,Deegawapiya,Ampara,7.297500,81.682000
32008,Digamadulla Weeragoda,Ampara,7.297500,81.682000
32010,Hingurana,Ampara,7.214400,81.653700
32012,Moragahapallama,Ampara,7.207600,81.654000
32014,Damana,Ampara,7.200700,81.654200
32016,Madawalalanda,Ampara,7.207600,81.654000
32018,Mahanagapura,Ampara,7.207600,81.654000
32022,Pannalagama,Ampara,7.072400,81.606500
32024,Bakmitiyawa,Ampara,7.019400,81.647800
32031,Paragahakele,Ampara,7.250000,81.600000
32032,Polwaga Janapadaya,Ampara,7.137000,81.519200
32034,Pahalalanda,Ampara,7.137000,81.519200
32035,Koknahara,Ampara,7.186000,81.573300
32037,Namaloya,Ampara,6.995200,81.370300
32038,Devalahinda,Ampara,7.137000,81.519200
32039,Wadinagala,Ampara,7.116700,81.533300
32046,Dadayamtalawa,Ampara,7.197200,81.598900
32048,Siyambalawewa,Ampara,7.197200,81.598900
32050,Central Camp,Ampara,7.197200,81.598900
32060,Uhana,Ampara,7.366700,81.633300
32062,Werunketagoda,Ampara,7.408300,81.633300
32064,Gonagolla,Ampara,7.450000,81.633300
32066,Galapitagala,Ampara,7.408300,81.633300
32068,Rajagalatenna,Ampara,7.408300,81.633300
32069,Mangalagama,Ampara,7.408300,81.633300
32070,Mahaoya,Ampara,7.197200,81.598900
32072,Tempitiya,Ampara,7.197200,81.598900
32074,Kekirihena,Ampara,7.197200,81.598900
32100,Padiyatalawa,Ampara,7.400200,81.242800
32101,Serankada,Ampara,7.457200,81.280800
32102,Kolamanthalawa,Ampara,7.402500,81.274500
32104,Dorakumbura,Ampara,7.350000,81.300000
